Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Ryan Anderson,PF,30,TOT,25,322,,,,97%,4%,-11.6,-4.1,6,1,13,2,8,3.0,45,1,7,anderry01,2018-2019,NBA
Ryan Anderson,PF,30,PHO,15,278,,,,100%,,-15.5,-6.9,6,0,12,2,7,3.0,41,1,5,anderry01,2018-2019,NBA
Ryan Anderson,PF,30,MIA,10,44,,,,74%,26%,13.2,13.4,0,1,1,0,1,0.0,4,0,2,anderry01,2018-2019,NBA
Ike Anigbogu,C,20,IND,3,6,,,,,100%,-23.7,-27.1,0,0,0,0,0,0.0,2,0,0,anigbik01,2018-2019,NBA
Giannis Antetokounmpo,PF,24,MIL,72,2358,,,,73%,27%,12.1,8.8,80,65,67,68,347,6.0,1093,103,100,antetgi01,2018-2019,NBA
Kostas Antetokounmpo,PF,21,DAL,2,11,,,,,100%,18.6,20.4,0,1,0,0,1,0.0,0,0,1,antetko01,2018-2019,NBA
Carmelo Anthony,PF,34,HOU,10,294,,,,81%,19%,-11.7,-18.1,2,1,11,4,5,5.0,13,1,4,anthoca01,2018-2019,NBA
OG Anunoby,SF,21,TOR,67,1352,,,23%,75%,2%,-2.0,-12.1,21,13,63,11,32,11.0,113,10,32,anunoog01,2018-2019,NBA
Ryan Arcidiacono,PG,24,CHI,81,1961,96%,4%,,,,-6.2,4.8,33,15,67,10,38,26.0,633,6,17,arcidry01,2018-2019,NBA
Trevor Ariza,SF,33,TOT,69,2349,,2%,70%,28%,,-7.1,-2.2,67,19,57,9,78,16.0,591,25,33,arizatr01,2018-2019,NBA
Trevor Ariza,SF,33,PHO,26,884,,,62%,38%,,-15.1,-7.9,19,10,16,5,19,6.0,208,5,13,arizatr01,2018-2019,NBA
Trevor Ariza,SF,33,WAS,43,1465,,4%,74%,21%,1%,-2.2,1.2,48,9,41,4,59,10.0,383,20,20,arizatr01,2018-2019,NBA
D.J. Augustin,PG,31,ORL,81,2269,100%,,,,,3.1,4.8,82,29,38,11,69,36.0,994,11,42,augusdj01,2018-2019,NBA
Deandre Ayton,C,20,PHO,71,2183,,,,,100%,-8.2,1.8,32,41,135,24,90,2.0,310,24,43,aytonde01,2018-2019,NBA
Dwayne Bacon,SG,23,CHO,43,759,,29%,66%,4%,,-1.3,0.1,8,4,33,2,23,2.0,120,4,14,bacondw01,2018-2019,NBA
Marvin Bagley III,PF,19,SAC,62,1567,,,,45%,54%,-3.1,-3.5,27,32,55,17,121,6.0,146,19,46,baglema01,2018-2019,NBA
