Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Phil Farbman,farbmph01,194811130STB,PHW,game,,,4,10,.400,,,,0,0,,,,,,,,,1,8,
Jerry Fleishman,fleisje01,194811130STB,PHW,game,,,3,8,.375,,,,2,3,.667,,,,,,,,3,8,
George Senesky,senesge01,194811130STB,PHW,game,,,0,6,.000,,,,0,0,,,,,,,,,2,0,
Red Rocha,rochare01,194811130STB,STB,game,,,8,18,.444,,,,2,2,1.000,,,,,,,,5,18,
John Logan,loganjo01,194811130STB,STB,game,,,5,12,.417,,,,4,6,.667,,,,,,,,3,14,
Easy Parham,parhaea01,194811130STB,STB,game,,,6,15,.400,,,,1,1,1.000,,,,,,,,4,13,
Don Martin,martido01,194811130STB,STB,game,,,5,11,.455,,,,2,3,.667,,,,,,,,3,12,
Ariel Maughan,maughar01,194811130STB,STB,game,,,2,15,.133,,,,7,7,1.000,,,,,,,,1,11,
Don Putman,putnado01,194811130STB,STB,game,,,2,3,.667,,,,0,2,.000,,,,,,,,1,4,
Grady Lewis,lewisgr01,194811130STB,STB,game,,,1,1,1.000,,,,0,1,.000,,,,,,,,4,2,
Belus Smawley,smawlbe01,194811130STB,STB,game,,,0,4,.000,,,,2,2,1.000,,,,,,,,1,2,
Buddy O'Grady,ogradbu01,194811130STB,STB,game,,,0,1,.000,,,,0,0,,,,,,,,,0,0,
D.C. Wilcutt,wilcudc01,194811130STB,STB,game,,,0,0,,,,,0,0,,,,,,,,,0,0,
Freddie Lewis,lewisfr01,194811130CHS,INJ,game,,,7,,,,,,1,3,.333,,,,,,,,5,15,
Fritz Nagy,nagyfr01,194811130CHS,INJ,game,,,4,,,,,,5,5,1.000,,,,,,,,1,13,
Andy Kostecka,kostean01,194811130CHS,INJ,game,,,4,,,,,,4,4,1.000,,,,,,,,4,12,
Charlie Black,blackch01,194811130CHS,INJ,game,,,3,,,,,,4,7,.571,,,,,,,,3,10,
George Glamack,glamage01,194811130CHS,INJ,game,,,3,,,,,,4,5,.800,,,,,,,,3,10,
Ray Lumpp,lumppra01,194811130CHS,INJ,game,,,0,,,,,,6,6,1.000,,,,,,,,2,6,
John Mandic,mandijo01,194811130CHS,INJ,game,,,2,,,,,,0,2,.000,,,,,,,,3,4,
Hal Tidrick,tidriha01,194811130CHS,INJ,game,,,1,,,,,,0,0,,,,,,,,,1,2,
Marty Passaglia,passama01,194811130CHS,INJ,game,,,0,,,,,,0,0,,,,,,,,,1,0,
Max Zaslofsky,zasloma01,194811130CHS,CHS,game,,,6,,,,,,8,11,.727,,,,,,,,3,20,
Odie Spears,spearod01,194811130CHS,CHS,game,,,8,,,,,,3,4,.750,,,,,,,,6,19,
Andy Phillip,phillan01,194811130CHS,CHS,game,,,7,,,,,,2,5,.400,,,,,,,,3,16,
