Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Freddie Lewis,lewisfr02,197510290VIR,SSL,game,True,48:00,11,22,.500,0,0,,5,7,.714,,,11,6,,,,,27,
Maurice Lucas,lucasma01,197510290VIR,SSL,game,True,42:00,7,11,.636,0,0,,2,2,1.000,,,12,1,,,,,16,
Gus Gerard,gerargu01,197510290VIR,SSL,game,True,40:00,5,18,.278,0,0,,6,6,1.000,,,7,3,,,,,16,
Don Chaney,chanedo01,197510290VIR,SSL,game,True,33:00,5,11,.455,0,0,,3,3,1.000,,,7,4,,,,,13,
Mike Barr,barrmi01,197510290VIR,SSL,game,False,25:00,2,3,.667,0,0,,1,3,.333,,,1,1,,,,,5,
Rudy Hackett,hackeru01,197510290VIR,SSL,game,False,23:00,4,9,.444,0,0,,2,3,.667,,,4,1,,,,,10,
Harry Rogers,rogerha01,197510290VIR,SSL,game,False,4:00,0,0,,0,0,,0,0,,,,1,0,,,,,0,
Willie Wise,wisewi01,197510290VIR,VIR,game,True,43:00,15,28,.536,0,0,,8,11,.727,,,9,2,,,,,38,
Ticky Burden,burdeti01,197510290VIR,VIR,game,True,37:00,6,20,.300,0,1,.000,2,3,.667,,,2,1,,,,,14,
Jan van Breda Kolff,vanbrja01,197510290VIR,VIR,game,True,37:00,4,7,.571,0,0,,3,4,.750,,,7,1,,,,,11,
Gerald Govan,govange01,197510290VIR,VIR,game,True,29:00,1,5,.200,0,0,,0,0,,,,9,1,,,,,2,
Dave Twardzik,twardda01,197510290VIR,VIR,game,True,8:00,0,4,.000,0,0,,0,0,,,,0,1,,,,,0,
Fatty Taylor,taylofa01,197510290VIR,VIR,game,False,34:00,3,5,.600,0,0,,0,0,,,,5,6,,,,,6,
Johnny Neumann,neumajo01,197510290VIR,VIR,game,False,27:00,5,18,.278,3,5,.600,2,2,1.000,,,2,2,,,,,15,
Mike Jackson,jacksmi01,197510290VIR,VIR,game,False,26:00,5,8,.625,0,0,,2,2,1.000,,,9,1,,,,,12,
Rick Darnell,darneri01,197510290VIR,VIR,game,False,24:00,1,5,.200,0,0,,0,0,,,,5,2,,,,,2,
Bo Lamar,lamarbo01,197510300SAA,SDS,game,True,,10,20,.500,2,4,.500,4,5,.800,,,2,5,1,0,2,4,26,
Dave Robisch,robisda01,197510300SAA,SDS,game,True,,9,16,.563,0,0,,4,4,1.000,,,15,2,0,0,1,3,22,
Caldwell Jones,jonesca01,197510300SAA,SDS,game,True,,4,17,.235,0,0,,6,8,.750,,,15,1,1,3,1,2,14,
Mark Olberding,olberma01,197510300SAA,SDS,game,True,,3,12,.250,0,0,,6,9,.667,,,9,1,1,0,1,3,12,
Pat McFarland,mcfarpa01,197510300SAA,SDS,game,True,,1,3,.333,0,0,,2,2,1.000,,,3,4,0,0,0,1,4,
Kevin Joyce,joyceke01,197510300SAA,SDS,game,False,,7,15,.467,0,0,,4,7,.571,,,2,7,1,0,5,4,18,
Joby Wright,wrighjo01,197510300SAA,SDS,game,False,,1,4,.250,0,0,,2,2,1.000,,,1,0,0,0,0,4,4,
Bob Warren,warrebo01,197510300SAA,SDS,game,False,,0,3,.000,0,0,,0,0,,,,3,0,0,1,1,1,0,
James Silas,silasja01,197510300SAA,SAA,game,True,,10,21,.476,0,0,,9,9,1.000,,,6,6,4,0,1,5,29,
George Gervin,gervige01,197510300SAA,SAA,game,True,,9,24,.375,0,0,,5,7,.714,,,11,3,1,4,1,4,23,
Larry Kenon,kenonla01,197510300SAA,SAA,game,True,,9,14,.643,0,0,,2,2,1.000,,,5,2,0,0,1,4,20,
