Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Jonathan Kuminga,kuminjo01,False,29:36,.678,.611,.167,.333,0.0,11.3,5.3,10.5,1.7,2.6,0.0,30.1,145,131,8.3,202401130MIL,GSW,game
Cory Joseph,josepco01,False,18:25,.750,.750,1.000,.000,0.0,18.2,8.6,11.7,0.0,4.1,33.3,7.0,116,131,-2.9,202401130MIL,GSW,game
Trayce Jackson-Davis,jackstr02,False,18:11,.676,.750,.000,.250,0.0,12.3,5.8,8.5,2.7,4.2,0.0,21.1,135,127,5.6,202401130MIL,GSW,game
Lester Quinones,quinole01,False,17:33,.510,.500,.200,.400,11.4,12.7,12.0,13.2,0.0,0.0,14.5,16.9,114,136,-6.2,202401130MIL,GSW,game
Usman Garuba,garubus01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,GSW,game
Draymond Green,greendr01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,GSW,game
Jerome Robinson,robinje01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,GSW,game
Damian Lillard,lillada01,True,37:37,.611,.526,.263,.368,0.0,16.0,8.4,22.6,2.6,0.0,4.3,26.0,139,119,2.8,202401130MIL,MIL,game
Giannis Antetokounmpo,antetgi01,True,36:39,.647,.614,.136,.364,9.1,16.4,13.0,19.3,0.0,0.0,13.6,34.1,124,125,0.0,202401130MIL,MIL,game
Brook Lopez,lopezbr01,True,33:41,.611,.611,.556,.000,6.6,17.8,12.5,19.5,0.0,4.6,10.0,12.6,140,121,3.7,202401130MIL,MIL,game
Khris Middleton,middlkh01,True,32:51,.865,.885,.385,.154,3.4,6.1,4.8,40.2,1.5,2.4,17.8,21.7,151,123,12.5,202401130MIL,MIL,game
Malik Beasley,beaslma01,True,28:32,.688,.688,.750,.000,7.8,7.0,7.4,3.8,3.5,0.0,11.1,13.3,133,120,0.8,202401130MIL,MIL,game
Andre Jackson Jr.,jacksan01,False,27:33,.625,.625,.000,.000,24.3,14.5,19.1,8.2,0.0,2.8,11.1,13.8,143,124,-0.1,202401130MIL,MIL,game
Pat Connaughton,connapa01,False,21:33,.375,.375,.750,.000,0.0,9.3,4.9,9.1,2.3,3.6,0.0,7.9,111,119,-2.6,202401130MIL,MIL,game
